empnum,costcenterlv2,effectivedate
GH00435,Cronos,13/9/2022
GH00436,Main App Tech,
GH00437,Crypto Pay Tech,
GH00438,Crypto Pay Tech,
GH00439,Defi Wallet Tech,
GH00440,Crypto Pay Tech,
GH00441,Product QA,
GH00442,Exchange and Derivatives Tech,
GH00443,Main App Tech,
GH00444,Crypto Pay Tech,
GH00445,Main App Tech,
GH00446,Product Management,
GH00447,Product QA,
GH00448,Defi Wallet Tech,
GH00449,Blockchain,
GH00449,Cronos,13/9/2022
GH00450,Product QA,
GH00451,Product QA,
GH00452,Main App Tech,
GH00453,Main App Tech,
GH00453,Cronos,13/9/2022
GH00454,NFT Tech,
GH00454,Cronos,13/9/2022
GH00455,Others Tech,
GH00458,Main App Tech,
GH00460,Product QA,
GH00461,Product QA,
GH00462,Main App Tech,
GH00463,Main App Tech,
GH00464,Main App Tech,
GH00465,Main App Tech,
GH00466,Main App Tech,
GH00467,Product QA,
GH00468,Quant,
GH00469,Quant,
GH00470,Main App Tech,
GH00471,Product QA,
GH00472,NFT Tech,
GH00473,Product QA,
GH00474,Application Security,
GH00475,Product Management,
GH00476,NFT Tech,
GH00477,Product QA,
GH00478,Exchange and Derivatives Tech,
GH00479,Main App Tech,
GH00480,Main App Tech,
GH00481,Crypto Pay Tech,
GH00482,Main App Tech,
GH00483,NFT Tech,
GH00484,Main App Tech,
GH00485,Product QA,
GH00486,Defi Wallet Tech,
GH00487,Others Tech,
GH00488,Main App Tech,
GH00489,Main App Tech,
GH00490,Main App Tech,
GH00491,Main App Tech,
GH00492,Main App Tech,
GH00493,Main App Tech,
GH00494,Main App Tech,
GH00495,Others Tech,
GH00496,Main App Tech,
GH00497,NFT,
GH00497,Main App Tech,29/07/2022
GH00497,Cronos,1/1/2023
GH00498,Main App Tech,
GH00499,Main App Tech,
GH00500,Crypto Pay Tech,
GH00501,Product QA,
GH00502,NFT,
GH00502,NFT Tech,29/07/2022
GH00503,Main App Tech,
GH00504,Quant,
GH00505,Main App Tech,
GH00506,Main App Tech,
GH00507,Main App Tech,
GH00507,Cronos,13/9/2022
GH00508,Main App Tech,
GH00509,Main App Tech,
GH00510,Main App Tech,
GH00511,Main App Tech,
GH00512,Others Tech,
GH00513,Product QA,
GH00514,Crypto Pay Tech,
GH00515,Main App Tech,
GH00515,Cronos,13/9/2022
GH00516,Main App Tech,
GH00517,Product QA,
GH00518,Main App Tech,
GH00519,Defi Wallet Tech,
GH00520,Product QA,
GH00521,Others Tech,
GH00522,Product QA,
GH00523,Others Tech,
GH00524,Others Tech,
GH00525,Main App Tech,
GH00526,Defi Wallet Tech,
GH00527,Main App Tech,
GH00528,Quant,
GH00529,Main App Tech,
GH00530,Main App Tech,
GH00531,Crypto Pay Tech,
GH00532,Product Management,
GH00533,Main App Tech,
GH00534,Main App Tech,
GH00535,Main App Tech,
GH00536,Defi Wallet Tech,
GH00537,Quant,
GH00538,Main App Tech,
GH00539,Quant,
GH00540,Main App Tech,
GH00541,Main App Tech,
GH00542,Others Tech,
GH00543,NFT,
GH00543,Cronos,13/09/2022
GH00544,Main App Tech,
GH00545,Main App Tech,
GH00546,Product QA,
GH00547,Product QA,
GH00548,Main App Tech,
GH00549,Defi Wallet Tech,
GH00550,Product QA,
GH00551,Talent Acquisition,
GH00552,Main App Tech,
GH00553,Main App Tech,
GH00554,Main App Tech,
GH00555,Main App Tech,
GH00556,Product Management,
GH00557,Product Management,
GH00558,Others Tech,
GH00559,Main App Tech,
GH00560,Application Security,
GH00561,Main App Tech,
GH00562,NFT,
GH00562,Main App Tech,29/07/2022
GH00562,Cronos,1/1/2023
GH00563,Main App Tech,
GH00564,Main App Tech,
GH00565,Quant,
GH00566,Main App Tech,
GH00567,Main App Tech,
GH00568,Main App Tech,
GH00569,NFT Tech,
GH00570,Main App Tech,
GH00571,Main App Tech,
GH00572,Main App Tech,
GH00573,Main App Tech,
GH00574,Talent Acquisition,
GH00575,Main App Tech,
GH00578,Product Management,
GH00579,Product QA,
GH00580,Product QA,
GH00581,NFT Tech,
GH00582,Main App Tech,
GH00583,Product QA,
GH00584,Talent Acquisition,
GH00585,Main App Tech,
GH00586,Main App Tech,
GH00587,Main App Tech,
GH00588,Main App Tech,
GH00589,Others Tech,
GH00590,NFT Tech,
GH00591,Main App Tech,
GH00592,Main App Tech,
GH00593,Others Tech,
GH00594,Product Management,
GH00595,Main App Tech,
GH00596,Main App Tech,
GH00597,Product QA,
GH00598,NFT Tech,
GH00599,Main App Tech,
GH00600,Main App Tech,
GH00601,Main App Tech,
GH00602,Crypto Pay Tech,
GH00603,Main App Tech,
GH00604,Product QA,
GH00605,NFT Tech,
GH00606,Others Tech,
GH00606,Cronos,13/9/2022
GH00607,Crypto Pay Tech,
GH00608,Main App Tech,
GH00609,Main App Tech,
GH00610,Quant,
GH00611,Quant,
GH00612,Others Tech,
GH00613,Main App Tech,
GH00614,Main App Tech,
GH00615,Main App Tech,
GH00616,Main App Tech,
GH00617,Product Management,
