empnum,exitdate,exittype,exitreason
711,2021-12-24,Resignation (Voluntary),Health Issue
1590,2021-12-23,Resignation (Voluntary),Health Issue
1408,2021-06-07,Resignation (Voluntary),Health Issue
2320,2022-08-08,Resignation (Voluntary),Immigration
359,2022-07-26,Resignation (Voluntary),Immigration
2708,2022-07-21,Resignation (Voluntary),Immigration
531,2022-07-17,Resignation (Voluntary),Immigration
4796,2022-07-09,Resignation (Voluntary),Immigration
331,2022-06-06,Resignation (Voluntary),Immigration
1427,2022-05-31,Resignation (Voluntary),Immigration
877,2022-05-18,Resignation (Voluntary),Immigration
868,2022-04-18,Resignation (Voluntary),Immigration
2154,2022-03-11,Resignation (Voluntary),Immigration
3184,2022-02-08,Resignation (Voluntary),Immigration
817,2022-01-01,Resignation (Voluntary),Immigration
604,2021-10-18,Resignation (Voluntary),Immigration
289,2021-10-05,Resignation (Voluntary),Immigration
785,2021-09-12,Resignation (Voluntary),Immigration
2458,2021-08-24,Resignation (Voluntary),Immigration
1791,2021-07-10,Resignation (Voluntary),Immigration
643,2021-03-19,Resignation (Voluntary),Immigration
691,2021-03-01,Resignation (Voluntary),Immigration
351,2021-02-19,Resignation (Voluntary),Immigration
306,2020-10-24,Resignation (Voluntary),Immigration
627,2020-10-12,Resignation (Voluntary),Immigration
637,2020-09-29,Resignation (Voluntary),Immigration
586,2020-09-11,Resignation (Voluntary),Immigration
58,2019-11-08,Resignation (Voluntary),Immigration
139,2019-10-15,Resignation (Voluntary),Immigration
1869,2022-10-29,Resignation (Voluntary),Job Nature
4304,2022-09-26,Resignation (Voluntary),Job Nature
2332,2022-09-23,Resignation (Voluntary),Job Nature
1986,2022-08-22,Resignation (Voluntary),Job nature not suitable
190,2022-08-16,Resignation (Voluntary),Job nature not suitable
1504,2022-08-05,Resignation (Voluntary),Job nature not suitable
4982,2022-07-16,Resignation (Voluntary),Job nature not suitable
4535,2022-07-15,Resignation (Voluntary),Job nature not suitable
5494,2022-07-05,Resignation (Voluntary),Job nature not suitable
3197,2022-06-27,Resignation (Voluntary),Job nature not suitable
5314,2022-06-27,Resignation (Voluntary),Job nature not suitable
4971,2022-06-08,Resignation (Voluntary),Job nature not suitable
4462,2022-06-06,Resignation (Voluntary),Job nature not suitable
4891,2022-06-06,Termination (Involuntary),Job nature not suitable
5071,2022-06-03,Resignation (Voluntary),Job nature not suitable
3530,2022-05-27,Resignation (Voluntary),Job nature not suitable
4768,2022-05-25,Resignation (Voluntary),Job nature not suitable
4684,2022-05-19,Resignation (Voluntary),Job nature not suitable
4490,2022-05-03,Resignation (Voluntary),Job nature not suitable
4845,2022-05-03,Resignation (Voluntary),Job nature not suitable
3857,2022-05-02,Resignation (Voluntary),Job nature not suitable
2940,2022-05-01,Resignation (Voluntary),Job nature not suitable
1834,2022-03-28,Resignation (Voluntary),Job nature not suitable
3157,2022-03-16,Resignation (Voluntary),Job nature not suitable
2978,2022-03-11,Resignation (Voluntary),Job nature not suitable
3950,2022-03-02,Resignation (Voluntary),Job nature not suitable
3974,2022-02-17,Resignation (Voluntary),Job nature not suitable
477,2022-02-10,Resignation (Voluntary),Job nature not suitable
517,2022-02-10,Resignation (Voluntary),Job nature not suitable
1059,2022-02-10,Resignation (Voluntary),Job nature not suitable
2850,2022-01-03,Resignation (Voluntary),Job nature not suitable
2954,2021-12-29,Resignation (Voluntary),Job nature not suitable
3083,2021-12-07,Resignation (Voluntary),Job nature not suitable
649,2021-12-04,Resignation (Voluntary),Job nature not suitable
1251,2021-12-02,Resignation (Voluntary),Job nature not suitable
1085,2021-11-12,Resignation (Voluntary),Job nature not suitable
1861,2021-11-02,Resignation (Voluntary),Job nature not suitable
648,2021-09-25,Resignation (Voluntary),Job nature not suitable
1175,2021-06-17,Resignation (Voluntary),Job nature not suitable
1744,2021-06-12,Resignation (Voluntary),Job nature not suitable
636,2021-04-29,Resignation (Voluntary),Job nature not suitable
1099,2021-04-29,Resignation (Voluntary),Job nature not suitable
992,2021-05-31,Termination (Involuntary),Knowledge gaps
1857,2021-07-16,Termination (Involuntary),Lack of Necessary Documents for Employment
1932,2021-07-16,Termination (Involuntary),Lack of Necessary Documents for Employment
3689,2022-06-06,Termination (Involuntary),Lack of utilization.
1534,2023-01-14,Termination (Involuntary),Layoff
1891,2023-01-14,Termination (Involuntary),Layoff
2793,2023-01-14,Termination (Involuntary),Layoff
2840,2023-01-14,Termination (Involuntary),Layoff
2997,2023-01-14,Termination (Involuntary),Layoff
3880,2023-01-14,Termination (Involuntary),Layoff
4770,2023-01-14,Termination (Involuntary),Layoff
5007,2023-01-14,Termination (Involuntary),Layoff
4622,2023-01-13,Termination (Involuntary),Layoff
2493,2023-01-12,Termination (Involuntary),Layoff
2791,2023-01-12,Termination (Involuntary),Layoff
2981,2023-01-12,Termination (Involuntary),Layoff
3239,2023-01-12,Termination (Involuntary),Layoff
3308,2023-01-12,Termination (Involuntary),Layoff
3346,2023-01-12,Termination (Involuntary),Layoff
3883,2023-01-12,Termination (Involuntary),Layoff
3954,2023-01-12,Termination (Involuntary),Layoff
4290,2023-01-12,Termination (Involuntary),Layoff
4416,2023-01-12,Termination (Involuntary),Layoff
4505,2023-01-12,Termination (Involuntary),Layoff
4507,2023-01-12,Termination (Involuntary),Layoff
4539,2023-01-12,Termination (Involuntary),Layoff
4554,2023-01-12,Termination (Involuntary),Layoff
4556,2023-01-12,Termination (Involuntary),Layoff
4759,2023-01-12,Termination (Involuntary),Layoff
4995,2023-01-12,Termination (Involuntary),Layoff
5036,2023-01-12,Termination (Involuntary),Layoff
5174,2023-01-12,Termination (Involuntary),Layoff
5287,2023-01-12,Termination (Involuntary),Layoff
5439,2023-01-12,Termination (Involuntary),Layoff
5441,2023-01-12,Termination (Involuntary),Layoff
5550,2023-01-12,Termination (Involuntary),Layoff
5552,2023-01-12,Termination (Involuntary),Layoff
5611,2023-01-12,Termination (Involuntary),Layoff
2334,2022-11-01,Termination (Involuntary),Layoff
652,2022-10-28,Termination (Involuntary),Layoff
672,2022-09-16,Termination (Involuntary),Layoff
2644,2022-09-13,Termination (Involuntary),Layoff
4363,2022-09-03,Termination (Involuntary),Layoff
640,2022-09-01,Termination (Involuntary),Layoff
2399,2022-08-24,Termination (Involuntary),Layoff
213,2022-08-10,Termination (Involuntary),Layoff
434,2022-08-10,Termination (Involuntary),Layoff
1166,2022-08-10,Termination (Involuntary),Layoff
4589,2022-08-10,Termination (Involuntary),Layoff
2161,2022-08-09,Termination (Involuntary),Layoff
5324,2022-08-09,Termination (Involuntary),Layoff
2374,2022-08-06,Termination (Involuntary),Layoff
903,2022-08-05,Termination (Involuntary),Layoff
3060,2022-08-05,Termination (Involuntary),Layoff
4753,2022-08-05,Termination (Involuntary),Layoff
369,2022-08-04,Termination (Involuntary),Layoff
5506,2022-07-29,Termination (Involuntary),Layoff
4437,2022-07-27,Termination (Involuntary),Layoff
4508,2022-07-27,Termination (Involuntary),Layoff
4719,2022-07-27,Termination (Involuntary),Layoff
4726,2022-07-27,Termination (Involuntary),Layoff
4758,2022-07-27,Termination (Involuntary),Layoff
4977,2022-07-27,Termination (Involuntary),Layoff
4978,2022-07-27,Termination (Involuntary),Layoff
4980,2022-07-27,Termination (Involuntary),Layoff
5437,2022-07-27,Termination (Involuntary),Layoff
3278,2022-07-22,Termination (Involuntary),Layoff
3728,2022-07-22,Termination (Involuntary),Layoff
4565,2022-07-22,Termination (Involuntary),Layoff
4754,2022-07-22,Termination (Involuntary),Layoff
5477,2022-07-22,Termination (Involuntary),Layoff
653,2022-07-21,Termination (Involuntary),Layoff
1137,2022-07-21,Termination (Involuntary),Layoff
2742,2022-07-21,Termination (Involuntary),Layoff
4080,2022-07-21,Termination (Involuntary),Layoff
4105,2022-07-21,Termination (Involuntary),Layoff
5180,2022-07-21,Termination (Involuntary),Layoff
5330,2022-07-21,Termination (Involuntary),Layoff
5338,2022-07-21,Termination (Involuntary),Layoff
2674,2022-07-20,Termination (Involuntary),Layoff
3106,2022-07-20,Termination (Involuntary),Layoff
3677,2022-07-20,Termination (Involuntary),Layoff
4756,2022-07-20,Termination (Involuntary),Layoff
3627,2022-07-19,Termination (Involuntary),Layoff
4035,2022-07-19,Termination (Involuntary),Layoff
4762,2022-07-19,Termination (Involuntary),Layoff
5440,2022-07-19,Termination (Involuntary),Layoff
5238,2022-07-14,Termination (Involuntary),Layoff
4981,2022-07-13,Termination (Involuntary),Layoff
2960,2022-07-07,Termination (Involuntary),Layoff
3894,2022-07-07,Termination (Involuntary),Layoff
5048,2022-07-07,Termination (Involuntary),Layoff
1673,2022-07-06,Termination (Involuntary),Layoff
1825,2022-07-01,Termination (Involuntary),Layoff
4720,2022-06-28,Termination (Involuntary),Layoff
4484,2022-06-25,Termination (Involuntary),Layoff
473,2022-06-24,Termination (Involuntary),Layoff
3934,2022-06-24,Termination (Involuntary),Layoff
2854,2022-06-23,Termination (Involuntary),Layoff
4213,2022-06-23,Termination (Involuntary),Layoff
5286,2022-06-21,Termination (Involuntary),Layoff
3201,2022-06-17,Termination (Involuntary),Layoff
3296,2022-06-16,Termination (Involuntary),Layoff
3310,2022-06-16,Termination (Involuntary),Layoff
4761,2022-06-16,Termination (Involuntary),Layoff
1889,2022-06-15,Termination (Involuntary),Layoff
2354,2022-06-15,Termination (Involuntary),Layoff
2780,2022-06-15,Termination (Involuntary),Layoff
2894,2022-06-15,Termination (Involuntary),Layoff
3105,2022-06-15,Termination (Involuntary),Layoff
3676,2022-06-15,Termination (Involuntary),Layoff
3882,2022-06-15,Termination (Involuntary),Layoff
4553,2022-06-15,Termination (Involuntary),Layoff
4722,2022-06-15,Termination (Involuntary),Layoff
4724,2022-06-15,Termination (Involuntary),Layoff
4965,2022-06-15,Termination (Involuntary),Layoff
4979,2022-06-15,Termination (Involuntary),Layoff
5377,2022-06-15,Termination (Involuntary),Layoff
5378,2022-06-15,Termination (Involuntary),Layoff
2535,2022-06-13,Termination (Involuntary),Layoff
4760,2022-06-13,Termination (Involuntary),Layoff
1053,2022-06-10,Termination (Involuntary),Layoff
1054,2022-06-10,Termination (Involuntary),Layoff
1148,2022-06-10,Termination (Involuntary),Layoff
4166,2022-06-10,Termination (Involuntary),Layoff
4718,2022-06-09,Termination (Involuntary),Layoff
4721,2022-06-09,Termination (Involuntary),Layoff
4723,2022-06-09,Termination (Involuntary),Layoff
4757,2022-06-09,Termination (Involuntary),Layoff
4763,2022-06-09,Termination (Involuntary),Layoff
5009,2022-06-09,Termination (Involuntary),Layoff
5042,2022-06-09,Termination (Involuntary),Layoff
5043,2022-06-09,Termination (Involuntary),Layoff
5047,2022-06-09,Termination (Involuntary),Layoff
5178,2022-06-09,Termination (Involuntary),Layoff
5179,2022-06-09,Termination (Involuntary),Layoff
5329,2022-06-09,Termination (Involuntary),Layoff
5331,2022-06-09,Termination (Involuntary),Layoff
5443,2022-06-09,Termination (Involuntary),Layoff
5508,2022-06-09,Termination (Involuntary),Layoff
5551,2022-06-09,Termination (Involuntary),Layoff
2716,2022-06-08,Termination (Involuntary),Layoff
3190,2022-06-08,Termination (Involuntary),Layoff
3613,2022-06-08,Termination (Involuntary),Layoff
3628,2022-06-08,Termination (Involuntary),Layoff
4727,2022-06-08,Termination (Involuntary),Layoff
4764,2022-06-08,Termination (Involuntary),Layoff
4966,2022-06-08,Termination (Involuntary),Layoff
1061,2022-06-03,Termination (Involuntary),Layoff
3087,2022-06-03,Termination (Involuntary),Layoff
3305,2022-06-03,Termination (Involuntary),Layoff
3306,2022-06-03,Termination (Involuntary),Layoff
3309,2022-06-03,Termination (Involuntary),Layoff
3369,2022-06-03,Termination (Involuntary),Layoff
3961,2022-06-03,Termination (Involuntary),Layoff
4540,2022-06-03,Termination (Involuntary),Layoff
4549,2022-06-03,Termination (Involuntary),Layoff
4552,2022-06-03,Termination (Involuntary),Layoff
4633,2022-06-03,Termination (Involuntary),Layoff
4752,2022-06-03,Termination (Involuntary),Layoff
5175,2022-06-03,Termination (Involuntary),Layoff
5262,2022-06-03,Termination (Involuntary),Layoff
3189,2022-12-07,Resignation (Voluntary),Leadership Decisions and Approaches
3185,2022-10-10,Resignation (Voluntary),Leadership Decisions and Approaches
1416,2022-09-28,Resignation (Voluntary),Leadership Decisions and Approaches
4017,2022-05-19,Termination (Involuntary),Legal compliance
42,2020-04-25,Termination (Involuntary),"Most of the teams in BG, and there is no need for staff in HK"
31,2020-04-02,Termination (Involuntary),"Most of the teams in BG, and there is no need for staff in HK"
4840,2023-02-01,Resignation (Voluntary),Moving Abroad
616,2022-11-23,Resignation (Voluntary),Moving Abroad
2390,2022-09-20,Resignation (Voluntary),Moving Abroad
5354,2022-09-15,Resignation (Voluntary),Moving Abroad
4170,2022-08-01,Resignation (Voluntary),Moving Abroad
1560,2022-07-15,Resignation (Voluntary),Moving Abroad
3991,2022-06-30,Resignation (Voluntary),Moving Abroad
2380,2022-06-13,Resignation (Voluntary),Moving Abroad
1948,2022-06-03,Resignation (Voluntary),Moving Abroad
3533,2022-05-30,Resignation (Voluntary),Moving Abroad
3869,2022-05-25,Resignation (Voluntary),Moving Abroad
2396,2022-05-10,Resignation (Voluntary),Moving Abroad
2137,2022-05-09,Resignation (Voluntary),Moving Abroad
3339,2022-04-28,Resignation (Voluntary),Moving Abroad
1132,2022-04-13,Resignation (Voluntary),Moving Abroad
3038,2022-04-01,Resignation (Voluntary),Moving Abroad
3175,2022-02-18,Resignation (Voluntary),Moving Abroad
2517,2022-02-10,Resignation (Voluntary),Moving Abroad
1749,2022-02-04,Resignation (Voluntary),Moving Abroad
3177,2022-01-27,Resignation (Voluntary),Moving Abroad
4677,2022-05-31,Termination (Involuntary),Moving abroad without informing
482,2022-12-09,Resignation (Voluntary),Mutual Agreement
141,2021-08-19,Termination (Involuntary),Mutual Agreement
356,2021-06-10,Resignation (Voluntary),Mutual Agreement
1088,2021-05-24,Resignation (Voluntary),Mutual Agreement
1332,2021-05-10,Resignation (Voluntary),Mutual Agreement
582,2020-09-11,Resignation (Voluntary),Mutual Agreement
559,2020-07-29,Resignation (Voluntary),Mutual Agreement
152,2019-10-01,Resignation (Voluntary),Mutual Agreement
151,2019-05-24,Termination (Involuntary),Mutual Agreement
84,2019-05-17,Resignation (Voluntary),Mutual Agreement
96,2018-12-31,Resignation (Voluntary),Mutual Agreement
3452,2022-01-25,Termination (Involuntary),No-show for 4 days
2827,2023-01-25,Resignation (Voluntary),Other employment
1459,2022-09-01,Resignation (Voluntary),Other employment
3481,2022-08-31,Resignation (Voluntary),Other employment
1882,2022-08-21,Resignation (Voluntary),Other employment
261,2020-10-20,Resignation (Voluntary),Other employment
468,2020-09-25,Resignation (Voluntary),Other employment
231,2019-11-08,Resignation (Voluntary),Other employment
35,2018-04-01,Resignation (Voluntary),Other employment
344,2023-01-16,Termination (Involuntary),Performance
4270,2022-12-01,Termination (Involuntary),Performance
1963,2022-11-14,Termination (Involuntary),Performance
1374,2022-11-10,Termination (Involuntary),Performance
1838,2022-10-15,Termination (Involuntary),Performance
694,2022-07-26,Termination (Involuntary),Performance
2525,2022-07-08,Termination (Involuntary),Performance
4159,2022-07-07,Resignation (Voluntary),Performance
4209,2022-06-20,Termination (Involuntary),Performance
3598,2022-06-14,Termination (Involuntary),Performance
4195,2022-06-14,Termination (Involuntary),Performance
4457,2022-06-14,Termination (Involuntary),Performance
321,2022-06-13,Termination (Involuntary),Performance
3603,2022-06-13,Termination (Involuntary),Performance
3758,2022-06-13,Termination (Involuntary),Performance
3777,2022-06-13,Termination (Involuntary),Performance
4041,2022-06-09,Termination (Involuntary),Performance
3746,2022-06-07,Termination (Involuntary),Performance
4019,2022-06-07,Termination (Involuntary),Performance
4148,2022-06-07,Termination (Involuntary),Performance
4210,2022-06-06,Termination (Involuntary),Performance
1432,2022-06-03,Termination (Involuntary),Performance
467,2022-06-02,Termination (Involuntary),Performance
3434,2022-06-02,Termination (Involuntary),Performance
3380,2022-05-30,Termination (Involuntary),Performance
4072,2022-05-30,Termination (Involuntary),Performance
4075,2022-05-30,Termination (Involuntary),Performance
3138,2022-05-27,Termination (Involuntary),Performance
3158,2022-05-27,Termination (Involuntary),Performance
3172,2022-05-27,Termination (Involuntary),Performance
3152,2022-05-26,Termination (Involuntary),Performance
3180,2022-05-26,Termination (Involuntary),Performance
3101,2022-05-25,Termination (Involuntary),Performance
3168,2022-05-25,Termination (Involuntary),Performance
3169,2022-05-25,Termination (Involuntary),Performance
3370,2022-05-25,Termination (Involuntary),Performance
4103,2022-05-25,Termination (Involuntary),Performance
4250,2022-05-25,Termination (Involuntary),Performance
3179,2022-05-20,Termination (Involuntary),Performance
3126,2022-05-19,Termination (Involuntary),Performance
3143,2022-05-09,Termination (Involuntary),Performance
936,2022-05-05,Termination (Involuntary),Performance
3178,2022-05-05,Termination (Involuntary),Performance
3819,2022-05-03,Termination (Involuntary),Performance
3042,2022-04-27,Termination (Involuntary),Performance
2815,2022-04-26,Termination (Involuntary),Performance
2719,2022-04-23,Resignation (Voluntary),Performance
3426,2022-04-20,Termination (Involuntary),Performance
2859,2022-04-15,Resignation (Voluntary),Performance
1712,2022-04-11,Resignation (Voluntary),Performance
3655,2022-04-04,Termination (Involuntary),Performance
2881,2022-03-25,Termination (Involuntary),Performance
4470,2022-03-21,Termination (Involuntary),Performance
3776,2022-03-18,Termination (Involuntary),Performance
917,2022-03-15,Resignation (Voluntary),Performance
3200,2022-03-05,Termination (Involuntary),Performance
242,2022-03-02,Termination (Involuntary),Performance
733,2022-03-01,Termination (Involuntary),Performance
2703,2022-02-28,Resignation (Voluntary),Performance
3842,2022-02-16,Termination (Involuntary),Performance
3856,2022-02-16,Termination (Involuntary),Performance
2605,2022-02-15,Termination (Involuntary),Performance
2607,2022-02-10,Termination (Involuntary),Performance
2556,2022-02-07,Resignation (Voluntary),Performance
2483,2022-02-04,Termination (Involuntary),Performance
2841,2022-02-01,Termination (Involuntary),Performance
2451,2022-01-31,Termination (Involuntary),Performance
3327,2022-01-29,Termination (Involuntary),Performance
3114,2022-01-28,Termination (Involuntary),Performance
2486,2022-01-25,Termination (Involuntary),Performance
2505,2022-01-24,Termination (Involuntary),Performance
623,2022-01-20,Termination (Involuntary),Performance
1339,2022-01-20,Termination (Involuntary),Performance
2891,2022-01-20,Termination (Involuntary),Performance
2462,2022-01-19,Termination (Involuntary),Performance
2511,2022-01-18,Termination (Involuntary),Performance
823,2022-01-17,Termination (Involuntary),Performance
2416,2022-01-14,Termination (Involuntary),Performance
2215,2022-01-13,Termination (Involuntary),Performance
2367,2022-01-12,Termination (Involuntary),Performance
2211,2022-01-10,Termination (Involuntary),Performance
2224,2022-01-10,Termination (Involuntary),Performance
2382,2022-01-10,Termination (Involuntary),Performance
2650,2022-01-10,Termination (Involuntary),Performance
2651,2022-01-10,Termination (Involuntary),Performance
585,2022-01-07,Resignation (Voluntary),Performance
2263,2022-01-07,Termination (Involuntary),Performance
2016,2022-01-06,Termination (Involuntary),Performance
3173,2022-01-06,Resignation (Voluntary),Performance
2027,2022-01-05,Resignation (Voluntary),Performance
1234,2022-01-04,Termination (Involuntary),Performance
2142,2021-12-23,Termination (Involuntary),Performance
1043,2021-12-20,Termination (Involuntary),Performance
2469,2021-12-20,Termination (Involuntary),Performance
276,2021-12-16,Termination (Involuntary),Performance
1082,2021-12-16,Resignation (Voluntary),Performance
1885,2021-12-13,Termination (Involuntary),Performance
1887,2021-12-13,Termination (Involuntary),Performance
1927,2021-12-13,Termination (Involuntary),Performance
240,2021-12-10,Termination (Involuntary),Performance
2259,2021-12-10,Termination (Involuntary),Performance
1855,2021-12-08,Termination (Involuntary),Performance
1935,2021-12-08,Termination (Involuntary),Performance
2771,2021-12-08,Termination (Involuntary),Performance
1884,2021-12-07,Termination (Involuntary),Performance
1784,2021-12-06,Termination (Involuntary),Performance
2071,2021-12-06,Termination (Involuntary),Performance
1717,2021-12-03,Termination (Involuntary),Performance
1771,2021-12-03,Termination (Involuntary),Performance
2619,2021-12-03,Termination (Involuntary),Performance
1759,2021-11-30,Termination (Involuntary),Performance
2515,2021-11-30,Termination (Involuntary),Performance
2584,2021-11-30,Termination (Involuntary),Performance
1698,2021-11-29,Termination (Involuntary),Performance
1746,2021-11-29,Termination (Involuntary),Performance
1762,2021-11-29,Termination (Involuntary),Performance
2090,2021-11-29,Termination (Involuntary),Performance
2428,2021-11-26,Termination (Involuntary),Performance
2587,2021-11-26,Termination (Involuntary),Performance
1714,2021-11-25,Termination (Involuntary),Performance
1760,2021-11-25,Termination (Involuntary),Performance
1924,2021-11-25,Termination (Involuntary),Performance
2421,2021-11-25,Termination (Involuntary),Performance
1773,2021-11-24,Termination (Involuntary),Performance
2658,2021-11-24,Termination (Involuntary),Performance
1718,2021-11-22,Termination (Involuntary),Performance
1735,2021-11-19,Termination (Involuntary),Performance
1610,2021-11-18,Termination (Involuntary),Performance
1910,2021-11-18,Termination (Involuntary),Performance
1617,2021-11-17,Termination (Involuntary),Performance
2014,2021-11-16,Termination (Involuntary),Performance
2024,2021-11-15,Termination (Involuntary),Performance
2408,2021-11-12,Termination (Involuntary),Performance
2549,2021-11-12,Termination (Involuntary),Performance
1495,2021-11-11,Termination (Involuntary),Performance
1578,2021-11-10,Termination (Involuntary),Performance
1937,2021-11-10,Termination (Involuntary),Performance
1483,2021-11-09,Termination (Involuntary),Performance
1492,2021-11-09,Termination (Involuntary),Performance
1494,2021-11-09,Termination (Involuntary),Performance
1546,2021-11-08,Termination (Involuntary),Performance
1448,2021-11-04,Termination (Involuntary),Performance
2312,2021-11-04,Termination (Involuntary),Performance
1298,2021-10-21,Termination (Involuntary),Performance
2732,2021-10-20,Termination (Involuntary),Performance
1723,2021-10-19,Termination (Involuntary),Performance
2135,2021-10-19,Termination (Involuntary),Performance
2452,2021-10-19,Termination (Involuntary),Performance
2272,2021-10-18,Termination (Involuntary),Performance
1672,2021-10-13,Termination (Involuntary),Performance
1875,2021-10-07,Termination (Involuntary),Performance
1177,2021-10-04,Termination (Involuntary),Performance
1167,2021-09-30,Termination (Involuntary),Performance
1190,2021-09-30,Termination (Involuntary),Performance
1194,2021-09-30,Termination (Involuntary),Performance
1222,2021-09-30,Termination (Involuntary),Performance
1331,2021-09-30,Termination (Involuntary),Performance
1373,2021-09-30,Termination (Involuntary),Performance
2393,2021-09-30,Termination (Involuntary),Performance
1052,2021-09-27,Termination (Involuntary),Performance
1133,2021-09-27,Termination (Involuntary),Performance
162,2021-09-20,Termination (Involuntary),Performance
1956,2021-09-18,Termination (Involuntary),Performance
2456,2021-09-18,Termination (Involuntary),Performance
769,2021-09-09,Termination (Involuntary),Performance
2179,2021-09-07,Resignation (Voluntary),Performance
980,2021-08-31,Termination (Involuntary),Performance
1154,2021-08-31,Termination (Involuntary),Performance
466,2021-08-24,Termination (Involuntary),Performance
933,2021-08-20,Termination (Involuntary),Performance
2496,2021-08-19,Termination (Involuntary),Performance
1092,2021-08-18,Termination (Involuntary),Performance
1181,2021-08-10,Termination (Involuntary),Performance
993,2021-08-09,Termination (Involuntary),Performance
788,2021-07-15,Termination (Involuntary),Performance
1392,2021-07-01,Termination (Involuntary),Performance
1121,2021-06-30,Termination (Involuntary),Performance
1142,2021-06-18,Termination (Involuntary),Performance
540,2021-06-15,Termination (Involuntary),Performance
1350,2021-06-14,Termination (Involuntary),Performance
1144,2021-06-12,Termination (Involuntary),Performance
703,2021-05-26,Termination (Involuntary),Performance
1267,2021-05-13,Termination (Involuntary),Performance
550,2021-04-19,Termination (Involuntary),Performance
775,2021-04-19,Termination (Involuntary),Performance
602,2021-04-09,Termination (Involuntary),Performance
768,2021-04-09,Termination (Involuntary),Performance
821,2021-02-25,Termination (Involuntary),Performance
671,2021-02-15,Termination (Involuntary),Performance
737,2021-02-01,Termination (Involuntary),Performance
591,2021-01-29,Termination (Involuntary),Performance
621,2021-01-29,Termination (Involuntary),Performance
700,2021-01-29,Termination (Involuntary),Performance
556,2021-01-18,Termination (Involuntary),Performance
325,2021-01-16,Termination (Involuntary),Performance
554,2021-01-15,Termination (Involuntary),Performance
837,2021-01-08,Termination (Involuntary),Performance
314,2020-12-23,Termination (Involuntary),Performance
655,2020-12-18,Termination (Involuntary),Performance
216,2020-12-17,Termination (Involuntary),Performance
758,2020-12-05,Termination (Involuntary),Performance
787,2020-11-11,Termination (Involuntary),Performance
462,2020-11-09,Termination (Involuntary),Performance
566,2020-10-16,Termination (Involuntary),Performance
329,2020-09-28,Termination (Involuntary),Performance
628,2020-09-11,Termination (Involuntary),Performance
370,2020-09-02,Termination (Involuntary),Performance
469,2020-08-27,Termination (Involuntary),Performance
444,2020-08-19,Termination (Involuntary),Performance
277,2020-08-08,Termination (Involuntary),Performance
424,2020-07-02,Termination (Involuntary),Performance
472,2020-07-02,Termination (Involuntary),Performance
90,2020-06-09,Termination (Involuntary),Performance
328,2020-05-30,Termination (Involuntary),Performance
51,2020-05-06,Termination (Involuntary),Performance
161,2020-04-10,Termination (Involuntary),Performance
287,2020-04-09,Termination (Involuntary),Performance
22,2020-04-02,Termination (Involuntary),Performance
13,2020-04-02,Termination (Involuntary),Performance
68,2020-03-21,Termination (Involuntary),Performance
172,2020-03-21,Termination (Involuntary),Performance
158,2020-02-10,Termination (Involuntary),Performance
255,2019-11-16,Termination (Involuntary),Performance
197,2019-09-05,Termination (Involuntary),Performance
153,2019-05-31,Termination (Involuntary),Performance
47,2019-04-29,Termination (Involuntary),Performance
124,2019-03-05,Termination (Involuntary),Performance
138,2019-01-31,Termination (Involuntary),Performance
131,2019-01-23,Termination (Involuntary),Performance
122,2019-01-02,Termination (Involuntary),Performance
37,2018-11-16,Termination (Involuntary),Performance
129,2018-10-26,Termination (Involuntary),Performance
74,2018-09-06,Termination (Involuntary),Performance
117,2018-02-05,Termination (Involuntary),Performance
128,2018-01-02,Termination (Involuntary),Performance
4852,2023-01-01,Termination (Involuntary),Performance and Attendance
4375,2022-04-27,Termination (Involuntary),Performance and Attendance
3020,2022-04-15,Termination (Involuntary),Performance and Attendance
2750,2022-03-11,Termination (Involuntary),Performance and Attendance
2430,2022-06-13,Termination (Involuntary),Performance and behavioral issues
3878,2022-06-03,Termination (Involuntary),Performance and behavioral issues
3209,2022-06-02,Termination (Involuntary),Performance and behavioral issues
3511,2022-05-31,Termination (Involuntary),Performance and behavioral issues
3514,2022-05-26,Termination (Involuntary),Performance and behavioral issues
4666,2022-05-19,Termination (Involuntary),Performance and behavioral issues
3550,2022-05-13,Termination (Involuntary),Performance and behavioral issues
1488,2022-03-21,Termination (Involuntary),Performance and behavioral issues
4208,2022-03-14,Termination (Involuntary),Performance and behavioral issues
2151,2022-02-09,Termination (Involuntary),Performance and behavioral issues
2612,2022-01-19,Termination (Involuntary),Performance and behavioral issues
1378,2022-01-06,Termination (Involuntary),Performance and behavioral issues
3131,2021-12-22,Termination (Involuntary),Performance and behavioral issues
2786,2021-12-11,Termination (Involuntary),Performance and behavioral issues
660,2021-11-30,Termination (Involuntary),Performance and behavioral issues
4828,2022-05-30,Termination (Involuntary),"Performance not up to the position level, not fit for the team"
1393,2022-05-16,Termination (Involuntary),"Performance not up to the position level, not fit for the team"
4919,2022-05-11,Termination (Involuntary),"Performance not up to the position level, not fit for the team"
3345,2022-04-08,Termination (Involuntary),"Performance not up to the position level, not fit for the team"
3373,2022-03-01,Termination (Involuntary),"Performance not up to the position level, not fit for the team"
2337,2021-10-30,Termination (Involuntary),"Performance not up to the position level, not fit for the team"
1607,2021-10-27,Termination (Involuntary),"Performance not up to the position level, not fit for the team"
2543,2021-10-25,Termination (Involuntary),"Performance not up to the position level, not fit for the team"
2664,2021-10-06,Termination (Involuntary),"Performance not up to the position level, not fit for the team"
1613,2021-10-04,Termination (Involuntary),"Performance not up to the position level, not fit for the team"
