empnum,exitdate,exittype,exitreason
5207,2022-06-16,Termination (Involuntary),
5588,2022-06-16,Termination (Involuntary),
2915,2022-06-15,Termination (Involuntary),
3693,2022-06-15,Termination (Involuntary),
3911,2022-06-15,Termination (Involuntary),
4296,2022-06-15,Termination (Involuntary),
4332,2022-06-15,Termination (Involuntary),
4658,2022-06-15,Termination (Involuntary),
3195,2022-06-14,Termination (Involuntary),
3631,2022-06-14,Termination (Involuntary),
4662,2022-06-14,Termination (Involuntary),
4985,2022-06-14,Termination (Involuntary),
5361,2022-06-14,Termination (Involuntary),
5471,2022-06-14,Termination (Involuntary),
3282,2022-06-13,Termination (Involuntary),
5044,2022-06-13,Termination (Involuntary),
12,2022-06-11,Termination (Involuntary),
3905,2022-06-11,Termination (Involuntary),
4817,2022-06-11,Termination (Involuntary),
5020,2022-06-11,Termination (Involuntary),
5072,2022-06-11,Termination (Involuntary),
2824,2022-06-10,Termination (Involuntary),
2826,2022-06-10,Termination (Involuntary),
2851,2022-06-10,Termination (Involuntary),
4822,2022-06-10,Termination (Involuntary),
4560,2022-06-09,Termination (Involuntary),
4538,2022-06-08,Termination (Involuntary),
4704,2022-06-08,Termination (Involuntary),
4952,2022-06-08,Termination (Involuntary),
4989,2022-06-08,Termination (Involuntary),
5075,2022-06-08,Termination (Involuntary),
5078,2022-06-08,Termination (Involuntary),
5220,2022-06-08,Termination (Involuntary),
5303,2022-06-08,Termination (Involuntary),
5343,2022-06-08,Termination (Involuntary),
5370,2022-06-08,Termination (Involuntary),
5380,2022-06-08,Termination (Involuntary),
5492,2022-06-08,Termination (Involuntary),
5584,2022-06-08,Termination (Involuntary),
4803,2022-06-07,Termination (Involuntary),
5194,2022-06-07,Termination (Involuntary),
5216,2022-06-07,Termination (Involuntary),
288,2022-06-04,Termination (Involuntary),
1799,2022-06-04,Termination (Involuntary),
3763,2022-06-03,Termination (Involuntary),
4569,2022-06-03,Termination (Involuntary),
5208,2022-06-03,Termination (Involuntary),
5315,2022-06-03,Termination (Involuntary),
5316,2022-06-03,Termination (Involuntary),
5486,2022-06-03,Termination (Involuntary),
5493,2022-06-03,Termination (Involuntary),
4368,2022-06-02,Termination (Involuntary),
4742,2022-06-02,Termination (Involuntary),
5615,2022-06-01,Resignation (Voluntary),
2353,2022-02-01,Death,
334,2021-12-01,Termination (Involuntary),
841,2021-11-12,Termination (Involuntary),
1532,2021-09-04,Resignation (Voluntary),
81,2021-08-04,Termination (Involuntary),
348,2021-07-15,Resignation (Voluntary),
1056,2021-04-28,Termination (Involuntary),
753,2021-03-09,Termination (Involuntary),
34,2021-01-01,Termination (Involuntary),
713,2020-11-18,Termination (Involuntary),
651,2020-11-13,Termination (Involuntary),
194,2020-10-07,Resignation (Voluntary),
372,2020-09-26,Resignation (Voluntary),
75,2020-09-09,Resignation (Voluntary),
535,2020-09-05,Termination (Involuntary),
680,2020-09-05,Termination (Involuntary),
614,2020-08-28,Resignation (Voluntary),
112,2020-03-31,Termination (Involuntary),
227,2020-02-14,Termination (Involuntary),
248,2020-02-01,Termination (Involuntary),
160,2019-09-16,Death,
71,2019-08-02,Resignation (Voluntary),
85,2019-07-05,Resignation (Voluntary),
144,2019-06-18,Termination (Involuntary),
111,2019-04-28,Resignation (Voluntary),
145,2019-04-24,Termination (Involuntary),
10,2018-03-19,Termination (Involuntary),
2966,2022-12-29,Resignation (Voluntary),"*Career Advancement (i.e., promotion and prospects)"
2810,2022-12-28,Resignation (Voluntary),"*Career Advancement (i.e., promotion and prospects)"
5433,2022-12-01,Resignation (Voluntary),"*Career Advancement (i.e., promotion and prospects)"
337,2022-11-28,Resignation (Voluntary),"*Career Advancement (i.e., promotion and prospects)"
377,2022-11-21,Resignation (Voluntary),"*Career Advancement (i.e., promotion and prospects)"
2526,2022-11-14,Resignation (Voluntary),"*Career Advancement (i.e., promotion and prospects)"
2167,2022-11-07,Resignation (Voluntary),"*Career Advancement (i.e., promotion and prospects)"
5684,2022-11-01,Resignation (Voluntary),"*Career Advancement (i.e., promotion and prospects)"
4733,2022-10-29,Resignation (Voluntary),"*Career Advancement (i.e., promotion and prospects)"
5173,2022-10-14,Resignation (Voluntary),"*Career Advancement (i.e., promotion and prospects)"
3266,2022-10-08,Resignation (Voluntary),"*Career Advancement (i.e., promotion and prospects)"
4111,2022-10-03,Resignation (Voluntary),"*Career Advancement (i.e., promotion and prospects)"
3358,2022-09-30,Resignation (Voluntary),"*Career Advancement (i.e., promotion and prospects)"
2902,2022-09-19,Resignation (Voluntary),"*Career Advancement (i.e., promotion and prospects)"
2178,2022-09-16,Resignation (Voluntary),"*Career Advancement (i.e., promotion and prospects)"
3063,2023-01-07,Resignation (Voluntary),"*Career Development (i.e., career change / lack of opportunity to grow professionally)"
905,2022-12-31,Resignation (Voluntary),"*Career Development (i.e., career change / lack of opportunity to grow professionally)"
480,2022-12-29,Resignation (Voluntary),"*Career Development (i.e., career change / lack of opportunity to grow professionally)"
5014,2022-12-03,Resignation (Voluntary),"*Career Development (i.e., career change / lack of opportunity to grow professionally)"
5446,2022-12-01,Resignation (Voluntary),"*Career Development (i.e., career change / lack of opportunity to grow professionally)"
777,2022-11-17,Resignation (Voluntary),"*Career Development (i.e., career change / lack of opportunity to grow professionally)"
741,2022-10-29,Resignation (Voluntary),"*Career Development (i.e., career change / lack of opportunity to grow professionally)"
5484,2023-03-01,Resignation (Voluntary),"*CDC's Culture, Strategies and Values"
495,2023-02-11,Resignation (Voluntary),"*CDC's Culture, Strategies and Values"
2164,2022-10-20,Resignation (Voluntary),"*CDC's Culture, Strategies and Values"
2901,2022-11-21,Resignation (Voluntary),*Communication and Transparency
5560,2022-11-01,Resignation (Voluntary),*Communication and Transparency
2734,2023-02-17,Resignation (Voluntary),"*Compensation, Benefits and Rewards"
1811,2023-01-05,Resignation (Voluntary),"*Compensation, Benefits and Rewards"
3096,2023-01-02,Resignation (Voluntary),"*Compensation, Benefits and Rewards"
3258,2022-11-19,Resignation (Voluntary),"*Compensation, Benefits and Rewards"
2158,2022-11-14,Resignation (Voluntary),"*Compensation, Benefits and Rewards"
279,2022-11-08,Resignation (Voluntary),"*Compensation, Benefits and Rewards"
2350,2022-10-28,Resignation (Voluntary),"*Compensation, Benefits and Rewards"
3227,2022-10-17,Resignation (Voluntary),"*Compensation, Benefits and Rewards"
237,2022-09-03,Resignation (Voluntary),"*Compensation, Benefits and Rewards"
3990,2023-02-28,Resignation (Voluntary),*Further Study
4385,2023-02-17,Resignation (Voluntary),*Industry Volatility
2529,2023-01-09,Resignation (Voluntary),*Industry Volatility
3611,2022-11-29,Resignation (Voluntary),*Industry Volatility
2788,2022-11-21,Resignation (Voluntary),*Industry Volatility
3248,2022-10-08,Resignation (Voluntary),*Industry Volatility
2155,2023-01-16,Resignation (Voluntary),*Leadership Decisions and Approaches
5274,2023-01-07,Resignation (Voluntary),*Leadership Decisions and Approaches
2988,2022-12-18,Resignation (Voluntary),*Leadership Decisions and Approaches
2711,2022-12-10,Resignation (Voluntary),*Leadership Decisions and Approaches
4736,2022-12-10,Resignation (Voluntary),*Leadership Decisions and Approaches
789,2022-11-26,Resignation (Voluntary),*Leadership Decisions and Approaches
4291,2023-01-30,Resignation (Voluntary),*Personal / Family Reasons
5675,2023-01-19,Resignation (Voluntary),*Personal / Family Reasons
1511,2022-11-26,Resignation (Voluntary),*Personal / Family Reasons
1503,2022-10-10,Resignation (Voluntary),*Personal / Family Reasons
4515,2022-10-10,Resignation (Voluntary),*Personal / Family Reasons
2862,2023-02-13,Resignation (Voluntary),*Relocation
3271,2023-01-01,Resignation (Voluntary),*Relocation
1991,2022-12-19,Resignation (Voluntary),*Relocation
4568,2022-12-03,Resignation (Voluntary),*Relocation
721,2022-12-01,Resignation (Voluntary),*Relocation
5005,2022-10-31,Resignation (Voluntary),*Relocation
